name,price,stock,description,category
Aegis Base Tee,34.40,124,"A moisture-wicking technical tee woven with conductive fibers to track biometric data. Neutral design and tailored fit.",Apparel
Nexus Travel Polo,46.75,83,"A versatile polo with an RFID-shielded pocket and a slim solar strip along the collar. Understated styling, easy office-to-outdoor transition.",Apparel
Axon Utility Duffel,163.20,44,"A water-resistant duffel from self-healing fabric, hidden solar panel, integrated power bank.",Core Gear
Helix Beltpack,72.50,57,"A matte black waist pack with encrypted USB storage, low-profile GPS beacon.",Core Gear
Synapse Base Top,58.40,96,"A moisture-regulating long-sleeve with embedded temperature sensors.",Performance Base Layers
Kinetic Compression Leggings,62.70,79,"Sleek leggings with conductive filaments gently warming muscles.",Performance Base Layers
Vantage Cargo Pants,81.60,73,"Rugged cargo pants with hidden LED strips and RFID-blocking compartments.",Tactical Bottoms
Solace Utility Trousers,93.80,54,"Utility trousers with discreet solar panels and hidden sleeves for encrypted drives.",Tactical Bottoms
Astra Smart Flask,17.50,147,"Insulated flask with UV purification, micro solar cell, app-synced hydration metrics.",Hydration Systems
Aurion Reservoir,48.10,132,"Hydration bladder with volume and temperature sensors, self-sealing membranes.",Hydration Systems
Xenon Grid Hoodie,105.20,62,"Hoodie distributing warmth through conductive threads, powered by a small solar patch.",Insulating Mid Layers
Arclite Insulated Vest,116.50,59,"High-loft vest with passive heating elements, app-driven climate suggestions.",Insulating Mid Layers
Aegis Field Jacket,176.40,41,"Weatherproof shell with integrated GPS beacon, SOS transmitter.",Protective Outerwear
TerraShell Parka,218.70,33,"Heavy-duty parka with biometric sensors adjusting insulation.",Protective Outerwear
Solaris Panel Mat,152.80,52,"Flexible solar panel mat charging multiple devices, portable and durable.",Power & Connectivity
Cipher Relay Hub,64.40,63,"Palm-sized wireless hotspot with encrypted storage, micro solar cell.",Power & Connectivity
Veridian Micro Shelter,185.60,21,"Compact bivy shelter from self-healing fabric, passive solar strips, internal LED lighting.",Shelter & Environmental Protection
Cryptic Multi-Tool,19.80,77,"Titanium multi-tool with encrypted storage, mini solar charger, digital compass.",Tools & Smart Accessories
